Name,Points,Projected,Position,Team,Injury Status,Eligible Slots,Acquisition Type,Injury Value,PPR
Kareem Hunt,0.0,0.0,RB,None,ACTIVE,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",[],1.0,inf
Kendre Miller,0.0,0.0,RB,NO,INJURY_RESERVE,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",[],0.5,inf
MarShawn Lloyd,0.0,0.0,RB,GB,INJURY_RESERVE,"['Rookie', 'RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",[],0.5,inf
Brenton Strange,0.0,8.17,TE,JAX,ACTIVE,"['WR/TE', 'TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",[],1.0,0.734394124847
Blake Corum,0.0,15.99,RB,LAR,ACTIVE,"['Rookie', 'RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",[],1.0,0.437773608505
Jordan Whittington,5.8,32.53,WR,LAR,ACTIVE,"['Rookie', 'RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",[],1.0,0.245926836766
Jahan Dotson,2.8,40.84,WR,PHI,ACTIVE,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",[],1.0,0.171400587659
Khalil Herbert,0.9,39.32,RB,CHI,ACTIVE,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",[],1.0,0.152594099695
Ray Davis,0.0,62.79,RB,BUF,ACTIVE,"['Rookie', 'RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",[],1.0,0.111482720178
Cole Kmet,25.7,87.25,TE,CHI,ACTIVE,"['WR/TE', 'TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",[],1.0,0.0687679083095
Jamaal Williams,0.9,93.41,RB,NO,ACTIVE,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",[],1.0,0.0642329515041
