Name,Points,Projected,Position,Team,Injury Status,Eligible Slots,Acquisition Type,Injury Value,Value Ratio,PPR
Justin Tucker,0,7.83,K,BAL,ACTIVE,"['K', 'BE', 'IR']",[],1.0,inf,inf
49ers D/ST,0,7.02,D/ST,SF,(),"['D/ST', 'BE', 'IR']",[],1.0,inf,inf
Sam Darnold,0,16.45,QB,MIN,QUESTIONABLE,"['QB', 'OP', 'BE', 'IR']",[],0.5,inf,inf
Chase McLaughlin,0,8.12,K,TB,ACTIVE,"['K', 'BE', 'IR']",[],1.0,inf,inf
Juwan Johnson,0,4.76,TE,NO,ACTIVE,"['WR/TE', 'TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",[],1.0,inf,inf
Dustin Hopkins,0,7.58,K,CLE,ACTIVE,"['K', 'BE', 'IR']",[],1.0,inf,inf
Matt Gay,0,7.64,K,IND,ACTIVE,"['K', 'BE', 'IR']",[],1.0,inf,inf
Tyler Bass,0,8.0,K,BUF,ACTIVE,"['K', 'BE', 'IR']",[],1.0,inf,inf
Brenton Strange,0,1.05,TE,JAX,ACTIVE,"['WR/TE', 'TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",[],1.0,inf,inf
Michael Wilson,0,8.39,WR,ARI,ACTIVE,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",[],1.0,inf,inf
Khalil Herbert,0,2.08,RB,CHI,ACTIVE,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",[],1.0,inf,inf
Dontayvion Wicks,0,6.66,WR,GB,ACTIVE,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",[],1.0,inf,inf
Eagles D/ST,0,7.17,D/ST,PHI,(),"['D/ST', 'BE', 'IR']",[],1.0,inf,inf
Jason Sanders,0,7.39,K,MIA,ACTIVE,"['K', 'BE', 'IR']",[],1.0,inf,inf
Ray Davis,0,4.47,RB,BUF,ACTIVE,"['Rookie', 'RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",[],1.0,inf,inf
